date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:09	66837/66837	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20May%202019%2018:42:15%20GMT	https://wpsprite.com/html/edubin/index.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/index.html	(from )
16:02:11	807/807	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2015:02:10%20GMT	https://wpsprite.com/robots.txt		(from )
16:02:13	1164/1164	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202019%2019:05:00%20GMT	https://wpsprite.com/html/edubin/images/favicon.png	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/images/favicon.png	(from https://wpsprite.com/html/edubin/index.html)
16:02:13	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202017%2011:49:30%20GMT	https://wpsprite.com/html/edubin/css/slick.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/slick.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:14	77749/77749	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Dec%202018%2015:22:30%20GMT	https://wpsprite.com/html/edubin/css/animate.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/animate.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:15	4007/4007	---M--	200	added ('OK')	text/css	date:Sun,%2008%20May%202016%2022:32:26%20GMT	https://wpsprite.com/html/edubin/css/nice-select.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/nice-select.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:16	300/300	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Feb%202018%2018:25:08%20GMT	https://wpsprite.com/html/edubin/css/jquery.nice-number.min.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/jquery.nice-number.min.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:16	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2002:11:48%20GMT	https://wpsprite.com/html/edubin/css/magnific-popup.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/magnific-popup.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:18	157215/157215	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202019%2018:28:44%20GMT	https://wpsprite.com/html/edubin/css/bootstrap.min.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/bootstrap.min.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:18	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:53:12%20GMT	https://wpsprite.com/html/edubin/css/font-awesome.min.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/font-awesome.min.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:18	11544/11544	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Mar%202019%2004:54:30%20GMT	https://wpsprite.com/html/edubin/css/default.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/default.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:19	26719/26719	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202019%2018:28:44%20GMT	https://wpsprite.com/html/edubin/css/responsive.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/responsive.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:19	93325/93325	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202019%2018:32:06%20GMT	https://wpsprite.com/html/edubin/css/style.css	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/css/style.css	(from https://wpsprite.com/html/edubin/index.html)
16:02:19	64299/64299	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20May%202019%2011:36:41%20GMT	https://wpsprite.com/html/edubin/index-4.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/index-4.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:19	2481/2481	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202019%2019:05:05%20GMT	https://wpsprite.com/html/edubin/images/logo.png	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/images/logo.png	(from https://wpsprite.com/html/edubin/index.html)
16:02:20	53704/53704	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2018:27:05%20GMT	https://wpsprite.com/html/edubin/index-2.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/index-2.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:20	51123/51123	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2018:27:05%20GMT	https://wpsprite.com/html/edubin/index-3.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/index-3.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:20	33460/33460	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:38:29%20GMT	https://wpsprite.com/html/edubin/about.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/about.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:22	47720/47720	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2018:27:05%20GMT	https://wpsprite.com/html/edubin/courses.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/courses.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:22	58640/58640	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2018:28:44%20GMT	https://wpsprite.com/html/edubin/courses-single.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/courses-single.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:23	25248/25248	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:47:18%20GMT	https://wpsprite.com/html/edubin/events.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/events.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:23	24871/24871	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:47:35%20GMT	https://wpsprite.com/html/edubin/events-2.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/events-2.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:23	23458/23458	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:47:53%20GMT	https://wpsprite.com/html/edubin/events-single.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/events-single.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:24	24696/24696	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:41:59%20GMT	https://wpsprite.com/html/edubin/teachers.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/teachers.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:24	30734/30734	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:41:51%20GMT	https://wpsprite.com/html/edubin/teachers-2.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/teachers-2.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:24	39802/39802	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2018:27:05%20GMT	https://wpsprite.com/html/edubin/teachers-single.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/teachers-single.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:25	26855/26855	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:40:41%20GMT	https://wpsprite.com/html/edubin/blog.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/blog.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:25	32852/32852	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:40:23%20GMT	https://wpsprite.com/html/edubin/blog-single.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/blog-single.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:25	46468/46468	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20May%202019%2011:37:22%20GMT	https://wpsprite.com/html/edubin/shop.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/shop.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:26	41226/41226	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20May%202019%2011:36:41%20GMT	https://wpsprite.com/html/edubin/shop-single.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/shop-single.html	(from https://wpsprite.com/html/edubin/index.html)
16:02:26	24843/24843	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2017:40:50%20GMT	https://wpsprite.com/html/edubin/contact.html	C:/Users/15N/Desktop/henry/FineOnitsha/wpsprite.com/html/edubin/contact.html	(from https://wpsprite.com/html/edubin/index.html)
